Date,Open,High,Low,Close,Volume,Adjusted,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2017-11-08,7141.38,7776.42,7114.02,7459.69,4602200064.0,7459.68994140625,7144.38,7022.76,7407.41,662.4,230.22,438.46,284.29,-318.31,-121.28,380.46,-2.89,2326340096.0,3111899904.0,2380410112.0,7152.66,7078.262,6803.153,0.043187833291546796,1
2017-11-09,7446.83,7446.83,7101.52,7143.58,3226249984.0,7143.580078125,7459.69,7144.38,7022.76,345.31,662.4,230.22,438.46,303.25,-318.31,-121.28,380.46,4602200064.0,2326340096.0,3111899904.0,7306.175,7189.98,6907.611,-0.04329978834888477,0
2017-11-10,7173.73,7312.0,6436.87,6618.14,5208249856.0,6618.14013671875,7143.58,7459.69,7144.38,875.13,345.31,662.4,230.22,555.59,303.25,-318.31,-121.28,3226249984.0,4602200064.0,2326340096.0,7224.877,7176.39,6945.154,-0.07639967782768012,0
2017-11-11,6618.61,6873.15,6204.22,6357.6,4908680192.0,6357.60009765625,6618.14,7143.58,7459.69,668.93,875.13,345.31,662.4,261.01,555.59,303.25,-318.31,5208249856.0,3226249984.0,4602200064.0,6921.509,7012.882,6893.125,-0.040163421356786085,0
2017-11-12,6295.45,6625.05,5519.01,5950.07,8957349888.0,5950.06982421875,6357.6,6618.14,7143.58,1106.04,668.93,875.13,345.31,345.38,261.01,555.59,303.25,4908680192.0,5208249856.0,3226249984.0,6639.554,6820.954,6807.921,-0.0662480083528882,0
2017-11-13,5938.25,6811.19,5844.29,6559.49,6263249920.0,6559.490234375,5950.07,6357.6,6618.14,966.9,1106.04,668.93,875.13,-621.24,345.38,261.01,555.59,8957349888.0,4908680192.0,5208249856.0,6294.812,6565.878,6671.434,0.0975099371105213,1
2017-11-14,6561.48,6764.98,6461.75,6635.75,3197110016.0,6635.75,6559.49,5950.07,6357.6,303.23,966.9,1106.04,668.93,-74.27,-621.24,345.38,261.01,6263249920.0,8957349888.0,4908680192.0,6427.151,6564.007,6653.623,0.01155880655935634,1
2017-11-15,6634.76,7342.25,6634.76,7315.54,4200880128.0,7315.5400390625,6635.75,6559.49,5950.07,707.49,303.23,966.9,1106.04,-680.78,-74.27,-621.24,345.38,3197110016.0,6263249920.0,8957349888.0,6531.451,6585.02,6650.78,0.09752915968167002,1
2017-11-16,7323.24,7967.38,7176.58,7871.69,5123809792.0,7871.68994140625,7315.54,6635.75,6559.49,790.8,707.49,303.23,966.9,-548.45,-680.78,-74.27,-621.24,4200880128.0,3197110016.0,6263249920.0,6923.495,6798.985,6756.545,0.07327191344658618,1
2017-11-17,7853.57,8004.59,7561.09,7708.99,4651670016.0,7708.990234375,7871.69,7315.54,6635.75,443.5,790.8,707.49,303.23,144.58,-548.45,-680.78,-74.27,5123809792.0,4200880128.0,3197110016.0,7397.593,7113.173,6933.969,-0.02088556075564038,0
